"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ABHD5",1.84158576971312e-07,0.826166823962012,0.183,0.069,0.0028597985417875,"4","ABHD5"
"SURF2",1.86575006549557e-07,0.460201892043546,0.209,0.081,0.00289732327670807,"4","SURF2"
"COPA",1.93049162499996e-07,0.879837621259146,0.194,0.075,0.00299786044446244,"4","COPA"
"SF3A2",2.05699862369164e-07,0.775302632791894,0.209,0.085,0.00319431316273074,"4","SF3A2"
"TAB3",2.0876981083098e-07,2.34006950910907,0.047,0.006,0.00324198639239429,"4","TAB3"
"TOP11",2.09330022615066e-07,0.547930080329318,0.277,0.124,0.00325068592118936,"4","TOP1"
"VIM1",2.13081755910088e-07,0.331019775410223,0.775,0.504,0.00330894658752775,"4","VIM"
"TCIRG11",2.16465065147137e-07,0.900059815400103,0.215,0.089,0.00336148599666988,"4","TCIRG1"
"CCR9",2.1686733193764e-07,2.09437778679339,0.047,0.006,0.00336773279765961,"4","CCR9"
"ADAMTS17",2.19981423915495e-07,2.3558880738738,0.047,0.006,0.00341609153198372,"4","ADAMTS17"
"SLBP",2.2191445750756e-07,0.411219314142281,0.325,0.153,0.00344610961063489,"4","SLBP"
"MTHFD2",2.24544063125559e-07,0.649607564354992,0.298,0.14,0.0034869447562768,"4","MTHFD2"
"PITPNC1",2.24680680848899e-07,0.518779046131553,0.298,0.138,0.00348906629290255,"4","PITPNC1"
"HSPA4",2.26159698873683e-07,0.796684463751086,0.199,0.078,0.00351203396380942,"4","HSPA4"
"APH1A",2.27616264409197e-07,0.413679678610526,0.309,0.141,0.00353465297001043,"4","APH1A"
"C18orf32",2.37353528905487e-07,0.860471366172353,0.23,0.1,0.0036858629503733,"4","C18orf32"
"SCAND1",2.42059168887516e-07,0.599838968040593,0.403,0.219,0.00375893683365424,"4","SCAND1"
"PET100",2.50464691121503e-07,0.344768902714734,0.471,0.253,0.00388946618842582,"4","PET100"
"DERL1",2.56942475288494e-07,0.657856860683786,0.283,0.13,0.00399005969875502,"4","DERL1"
"CCT2",2.5744665957774e-07,0.589321065412022,0.377,0.194,0.00399788917658272,"4","CCT2"
"DAPK2",2.59983389706215e-07,1.2425088414288,0.105,0.029,0.00403728205874781,"4","DAPK2"
"HCG181",2.60806081250574e-07,0.850948121910448,0.277,0.126,0.00405005763574017,"4","HCG18"
"ALG131",2.60943662329139e-07,0.443793306686218,0.314,0.148,0.00405219413230919,"4","ALG13"
"CAMK4",2.61188441348763e-07,0.629327753841067,0.173,0.063,0.00405599530570495,"4","CAMK4"
"SEC14L6",2.65362682219768e-07,2.41993470132622,0.037,0.003,0.00412081709219077,"4","SEC14L6"
"CAPG2",2.67489930678645e-07,0.147865473281679,0.471,0.248,0.00415385113350868,"4","CAPG"
"LRIG1",2.69575112074613e-07,2.55641584744928,0.042,0.005,0.00418623191540667,"4","LRIG1"
"ABTB2",2.69575112074613e-07,2.37270245720826,0.042,0.005,0.00418623191540667,"4","ABTB2"
"HMOX1",2.79515262101901e-07,1.17375760647795,0.084,0.019,0.00434059250518041,"4","HMOX1"
"MED19",2.92018820423171e-07,0.626940529091691,0.194,0.074,0.00453476026235141,"4","MED19"
"ZNF296",2.96146844227942e-07,1.06381366425169,0.12,0.036,0.00459886434401571,"4","ZNF296"
"RALGAPA11",2.98930334178404e-07,0.784737382928231,0.272,0.126,0.00464208915945644,"4","RALGAPA1"
"PPP2CA1",3.0117097497928e-07,0.40798600595412,0.419,0.218,0.00467688407045324,"4","PPP2CA"
"YBX11",3.05608778859438e-07,0.309888484564053,0.901,0.659,0.00474579872690822,"4","YBX1"
"ANXA11",3.10065935923632e-07,0.311912330060563,0.471,0.248,0.00481501391895808,"4","ANXA11"
"CASP31",3.12960260867911e-07,0.521394586929636,0.241,0.104,0.00485995989101779,"4","CASP3"
"PDIA31",3.31193600010248e-07,0.405102786207697,0.639,0.379,0.00514310541455914,"4","PDIA3"
"MORF4L21",3.31490835900286e-07,0.394270754142827,0.435,0.224,0.00514772119069554,"4","MORF4L2"
"RHEB",3.3151981332292e-07,0.509533766376583,0.366,0.186,0.00514817118109163,"4","RHEB"
"MRPL47",3.37503237599136e-07,0.564978591799757,0.314,0.15,0.00524108777667698,"4","MRPL47"
"LPXN",3.42459838328128e-07,0.405467797644596,0.366,0.182,0.00531805882939751,"4","LPXN"
"FDX1",3.47025919388324e-07,0.683417656720771,0.288,0.137,0.00538896550218128,"4","FDX1"
"CHCHD71",3.51212223501905e-07,0.537884770167428,0.257,0.114,0.00545397461876108,"4","CHCHD7"
"CDK131",3.51555377139434e-07,0.88068052422004,0.199,0.079,0.00545930345159827,"4","CDK13"
"ERVK3-1",3.55500822736697e-07,0.828297688968813,0.199,0.08,0.00552057227627817,"4","ERVK3-1"
"BAG1",3.56295297016765e-07,0.813843310621399,0.241,0.107,0.00553290966737335,"4","BAG1"
"PRDX51",3.56662925906711e-07,0.207283687167531,0.675,0.382,0.00553861857640531,"4","PRDX5"
"FAM50A",3.57747374000771e-07,0.620425052195197,0.225,0.094,0.00555545897085797,"4","FAM50A"
"PSMB6",3.58362102403535e-07,0.284635901965922,0.45,0.237,0.00556500508822449,"4","PSMB6"
"SERTAD12",3.60277162326487e-07,0.251930078851133,0.44,0.226,0.00559474405376802,"4","SERTAD1"
"SRGN2",3.85441265757738e-07,0.260512141191736,0.984,0.86,0.00598551741595192,"4","SRGN"
"NR1H21",3.90513726343299e-07,0.550708118299901,0.293,0.134,0.00606428765638508,"4","NR1H2"
"NUGGC",3.97700706240145e-07,1.92716330893994,0.052,0.008,0.00617589426720321,"4","NUGGC"
"NAA60",4.02560294146222e-07,1.81453760270552,0.094,0.025,0.00625135880779669,"4","NAA60"
"TRGC1",4.08358986809715e-07,0.703212420293574,0.487,0.291,0.00634140670616806,"4","TRGC1"
"CSNK1A1",4.0918422956657e-07,0.532989204963534,0.314,0.149,0.00635422190093927,"4","CSNK1A1"
"BCAS41",4.10295176218811e-07,0.374305498724375,0.225,0.093,0.00637147379150192,"4","BCAS4"
"ZFAND52",4.13264187608312e-07,0.5597906315598,0.361,0.182,0.00641757956936948,"4","ZFAND5"
"FAM102A",4.13441189602331e-07,1.20628778616582,0.131,0.043,0.0064203282333346,"4","FAM102A"
"ZNF570",4.14813813958989e-07,2.23283732319672,0.052,0.008,0.00644164371696914,"4","ZNF570"
"SMOX",4.23634477988488e-07,1.68720921505135,0.052,0.008,0.00657861980868323,"4","SMOX"
"SLC3A2",4.25907585454402e-07,0.519941129923265,0.393,0.208,0.0066139188945214,"4","SLC3A2"
"RNASEH2B",4.35659767032986e-07,0.397495846748262,0.257,0.113,0.00676536052225524,"4","RNASEH2B"
"MAPRE1",4.39138509449381e-07,0.47661731618149,0.351,0.172,0.00681938191323944,"4","MAPRE1"
"PELO1",4.41283427708698e-07,0.747184717156775,0.168,0.062,0.00685269034888837,"4","PELO"
