"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","SYMBOL","ENTREZID"
"55","ACAT1",1.85812396423477e-08,-0.964478811259062,0.24,0.263,0.000284032829172927,"ACAT1","38"
"56","ACBD3",1.40106783958697e-92,1.05036802220888,0.144,0.041,2.14167229959265e-88,"ACBD3","64746"
"57","ACBD5",2.22020366873194e-25,0.416957210063629,0.087,0.042,3.39380332802365e-21,"ACBD5","91452"
"58","ACBD6",1.94531856894944e-29,0.118961052197728,0.066,0.024,2.97361396449612e-25,"ACBD6","84320"
"59","ACD",6.35184548248212e-19,0.739912134691552,0.039,0.014,9.70943100452217e-15,"ACD","65057"
"60","ACE",6.93071025699156e-22,0.685210443598483,0.05,0.019,1.05942836988373e-17,"ACE","1636"
"61","ACE2",7.27939305961028e-18,0.683389462163333,0.067,0.034,1.11272802309203e-13,"ACE2","59272"
"62","ACER3",1.47354171299713e-14,0.137450365276022,0.107,0.067,2.25245586248741e-10,"ACER3","55331"
"63","ACHE",6.8747075988997e-29,1.02042321232149,0.117,0.06,1.05086780356781e-24,"ACHE","43"
"64","ACIN1",1.36804159700075e-36,0.330776536650177,0.153,0.079,2.09118838517534e-32,"ACIN1","22985"
"65","ACKR4",2.2878645356819e-16,0.945592354631286,0.017,0.003,3.49722972924335e-12,"ACKR4","51554"
"66","ACLY",4.48046812710835e-39,0.785567642477235,0.085,0.031,6.84884357909782e-35,"ACLY","47"
"67","ACO1",4.65507457655394e-34,0.389644525839151,0.098,0.042,7.11574699772036e-30,"ACO1","48"
"68","ACO2",2.89208207501792e-06,-0.820566132170542,0.273,0.288,0.044208366598724,"ACO2","50"
"69","ACOT11",5.20278443438121e-08,-0.0235838455797597,0.127,0.094,0.000795297628639511,"ACOT11","26027"
"70","ACOT4",9.78916365229822e-07,-1.49427642436282,0.032,0.049,0.0149637155589031,"ACOT4","122970"
"71","ACOT7",1.71809624502908e-20,-0.0830158844915944,0.163,0.102,2.62628192015145e-16,"ACOT7","11332"
"72","ACOT8",2.99563018484665e-18,-0.827075332468562,0.151,0.204,4.57912030055659e-14,"ACOT8","10005"
"73","ACOT9",1.15316071095818e-47,0.872564352213396,0.095,0.033,1.76272146277068e-43,"ACOT9","23597"
"74","ACOX1",1.48525442277261e-11,-0.630319837322455,0.213,0.253,2.27035991065021e-07,"ACOX1","51"
"75","ACP1",7.67735510708621e-37,-0.0930576341817293,0.294,0.188,1.1735605016692e-32,"ACP1","52"
"76","ACP5",7.44965526135642e-30,1.68718939851432,0.045,0.012,1.13875430325094e-25,"ACP5","54"
"77","ACP6",3.26512940445098e-27,0.46563821368985,0.047,0.014,4.99107680764376e-23,"ACP6","51205"
"78","ACSF2",2.05546257048916e-58,-1.67692889452104,0.062,0.156,3.14198008524973e-54,"ACSF2","80221"
