"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NXPH4",3.78433988437187e-14,6.87511361164749,0.061,0.002,2.26458683020697e-09,"3","NXPH4"
"SYNM",3.96171684117924e-14,5.38586780706065,0.061,0.002,2.37073097493007e-09,"3","SYNM"
"HDAC9",4.09408590519751e-14,3.31113836823623,0.07,0.004,2.44994194652924e-09,"3","HDAC9"
"IGKC",4.25043331368225e-14,1.37924093312787,0.118,0.018,2.54350179924059e-09,"3","IGKC"
"XBP1",4.33739011316206e-14,1.20176906433647,0.493,0.256,2.59553761761731e-09,"3","XBP1"
"MYC",4.76513069126191e-14,1.96412564846156,0.157,0.033,2.85150185695804e-09,"3","MYC"
"ENSG00000283041",5.41024615972171e-14,1.27925107640632,0.668,0.492,3.23754540443907e-09,"3","ENSG00000283041"
"GZMH",5.82766936237656e-14,0.701975834509463,0.266,0.087,3.48733562313976e-09,"3","GZMH"
"LFNG",5.87350527641542e-14,1.9464237527847,0.17,0.039,3.51476429245975e-09,"3","LFNG"
"LINC00987",9.19955358662526e-14,3.50048028773291,0.148,0.031,5.50510486177242e-09,"3","LINC00987"
"CMC1",1.01168790817777e-13,1.49758687906914,0.319,0.128,6.0540416113266e-09,"3","CMC1"
"JAK3",1.07841036378508e-13,0.858747866435587,0.69,0.434,6.45331545792631e-09,"3","JAK3"
"GLRX",1.11877799746511e-13,1.73659746880971,0.236,0.073,6.69487941463095e-09,"3","GLRX"
"GPX7",1.15261285693161e-13,3.25487060542324,0.1,0.012,6.89735059716448e-09,"3","GPX7"
"RBPJ",1.20097943003615e-13,1.17813083013434,0.476,0.244,7.18678100727932e-09,"3","RBPJ"
"5-8S-rRNA",1.22027904913076e-13,1.58439075248918,0.734,0.574,7.30227185790339e-09,"3","5-8S-rRNA"
"ENSG00000196656",1.27969059636294e-13,1.60362122510771,0.432,0.214,7.65779649769547e-09,"3","ENSG00000196656"
"PLCB1",1.37070184294656e-13,3.2916344469151,0.079,0.006,8.2024168983765e-09,"3","PLCB1"
"TMEM63A",1.46780212476267e-13,1.04707110263578,0.262,0.087,8.78347469479229e-09,"3","TMEM63A"
"CXCR3",1.54417957152471e-13,1.64257595709104,0.419,0.208,9.24052497396103e-09,"3","CXCR3"
"GRAP2",1.69813563712651e-13,1.03623635481553,0.367,0.152,1.01618134661287e-08,"3","GRAP2"
"PRKCB",1.73616008493452e-13,0.936273897161006,0.428,0.194,1.03893555642567e-08,"3","PRKCB"
"FAAH2",1.77500390458271e-13,6.49982001211198,0.048,0,1.06218008654134e-08,"3","FAAH2"
"CRIP2",2.8218379422663e-13,5.25632282716729,0.07,0.004,1.68861604303157e-08,"3","CRIP2"
"NOSIP",2.96170217370188e-13,1.25961423411046,0.332,0.13,1.77231219776494e-08,"3","NOSIP"
"HINT1",4.25740167667843e-13,0.818731585926864,0.664,0.427,2.54767173734114e-08,"3","HINT1"
"CD40LG",4.51160350138595e-13,6.58345270717564,0.057,0.002,2.69978865126437e-08,"3","CD40LG"
