"gene"
"HLA-DRA"
"ZNF683"
"GZMB"
"DUSP2"
"IGKC"
"KIR2DL1"
"JUN"
"CCL4"
"DUSP1"
"LINC02446"
"CX3CR1"
"GPR183"
"SKA2"
"CD74"
"KLRB1"
"EGR1"
"ITGAX"
"GZMH"
"TNFRSF9"
"CCL4L2"
"RAD51AP1"
"S1PR1"
"ATP2C1"
"KNL1"
"SMARCD1"
"ZNF180"
"TRBV23-1"
"NELL2"
"CEP68"
"FOS"
"FGFBP2"
"DUSP5"
"TMED8"
"SAPCD2"
"PAG1"
"CXCL13"
"ZNF765"
"DDIT4"
"NHSL2"
"MZB1"
"LYST"
"SOCS3"
"TRO"
"ALCAM"
"RTCA-AS1"
"ZNF624"
"GLE1"
"ATG4A"
"STMN1"
"CASP7"
"ZFP82"
"LMNA"
"MIR155HG"
"STAT1"
"ZNF22"
"ZNF266"
"USP1"
"GZMA"
"ZNF791"
"KLHL28"
"CAPN10-DT"
"ZNF418"
"TAF5"
"WDR11"
"RRM2"
"IGHG1"
"MIPEP"
"UBAP1L"
"XIST"
"LTB"
"ELP2"
"MFSD4BP1"
"ITGA6"
"ZNF620"
"LAMTOR3"
"ZNF778"
"ZNF92"
"EFCAB6-DT"
"GBP5"
"HID1"
"ZNF543"
"GPRASP1"
"TPBG"
"HAT1"
"ZNF823"
"PLLP"
"KIR3DL1"
"GNLY"
"ZNF563"
"RNGTT"
"RNF139"
"EPHA1-AS1"
"CHI3L2"
"MYO7A"
"TSEN2"
"TFRC"
"GNA15"
"KIF20B"
"SMTN"
"APTR"
"CCSAP"
"HSPA4"
"MRTFB"
"ST8SIA1"
"FCGR3A"
"SLF1"
"NSMCE2"
"CXCR6"
"S1PR5"
"FPGT"
"TRMT61A-DT"
"ITGB1"
"LBR"
"ZNF17"
"ITM2A"
"PKP3"
"ZNF665"
"DPY19L1"
"ZNF530"
"F2R"
"ARHGAP26"
"FAM30A"
"BAZ2B"
"TNF"
"SYK"
"TDRD9"
"COLGALT2"
"POMT2"
"TCF19"
"CKS1B"
"ZNF587B"
"ACOX1"
"KDM6A"
"TRAV38-2DV8"
"ZNF486"
"CENPL"
"ZNF225"
"ZNF354A"
"PSRC1"
"TONSL"
"IBTK"
"LRRC8C"
"SDR42E1"
"ADGRB1"
"ARHGAP12"
"TUBGCP5"
"BLK"
"MPZL3"
"TFIP11-DT"
"SEC23IP"
"ZNF799"
"WDR86"
"ALG10B"
"GPAT3"
"FEM1C"
"MYBL2"
"PNMA3"
"LYL1"
"ZNF561"
"ITGB2"
"TOMM40"
"CPLANE1"
"HMGB2"
"RB1CC1"
"VCAM1"
"C8orf33"
"CAPZA2"
"KIR2DL3"
"TRIM32"
"CD8A"
"MCF2L"
"ARRDC4"
"NFKBIA"
"ASTN2"
"SLC38A9"
"MCF2L2"
"NLGN3"
"CSF1"
"PTK7"
"SLC25A14"
"TLE1"
"THOP1"
"ZNF816"
"CTPS2"
"NMNAT1"
"KYAT3"
"ABCA1"
"PRRT3"
"NEPRO-AS1"
"FANCG"
"KLF3"
"LINC00861"
"TMEM120A"
"NFYB"
"BCAR3"
"CMTR2"
"OTUD1"
"DDR1"
"ZNF132"
"ZC3H10"
"IGKJ4"
"IGHG4"
"GXYLT1"
"ALG6"
"MIR223HG"
"IGHG3"
"MAP3K5"
"CD274"
"TOP2A"
"SANBR"
"ZNF487"
"ZNF778-DT"
"ZNF600"
"GNRH1"
"RHOT1"
"ITGAD"
"DERL3"
"LRRC75B"
"HELLPAR"
"ZNF805"
"SCN8A"
"GIMAP4"
"FOSB"
"TMEM18"
"IL1R1"
"IL17F"
"ZNF615"
"KIF4A"
"MAP1B"
"SELL"
"CD69"
"PRDX3"
"NPHP4"
"CARD10"
"NTN5"
"PMFBP1"
"CNN3"
"RASGRP3"
"TRBV6-1"
"FCRL2"
"STK11"
"GSKIP"
"PEX2"
"DPYSL2"
"HSPA7"
"TNFRSF10D"
"MIR3142HG"
"NSD2"
"TRMT12"
"SETD9"
"CD59"
"ANKRD46"
"DIS3"
"LCORL"
"NRAS"
"ZNF708"
"ZMYND10"
"INTS6L"
"HLA-DRB1"
"PDZD7"
"LMO4"
"HROB"
"DYNLT2"
"FEZ1"
"QSOX2"
"INAVA"
"ZNF257"
"ACER3"
"ZNF573"
"SUPV3L1"
"MRRF"
"FANCC"
"NR4A2"
"FBXL9P"
"BEX3"
"CTCF-DT"
"IFNGR1"
"OAS3"
"FAN1"
"PDE1B"
"FADS1"
"NEK8"
"UBR3"
"ZSCAN26"
"PGBD2"
"ATL1"
"N4BP2"
"C18orf54"
"ICOS"
"ADCK5"
"MAPK8"
"ZNF682"
"SLAMF1"
"ADAMTSL2"
"AGA"
"PLXNB2"
"TMEM263-DT"
"ZFAT"
