"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LINC00861",6.41687819240589e-50,0.758549548867875,0.496,0.354,1.63784398982968e-45,"4","LINC00861"
"PKIA-AS11",1.09744465287414e-49,2.80778778979907,0.037,0.005,2.80111773199596e-45,"4","PKIA-AS1"
"EIF3F",1.34280903848867e-49,0.505209393217064,0.744,0.63,3.42738578983849e-45,"4","EIF3F"
"CNN22",1.47630027136414e-49,0.632288742792271,0.588,0.448,3.76810881262983e-45,"4","CNN2"
"PFN2",1.85870725378314e-49,2.46986800751207,0.045,0.008,4.74416439455608e-45,"4","PFN2"
"PLCL21",1.89357729262357e-49,0.665778419161274,0.538,0.391,4.83316668169241e-45,"4","PLCL2"
"LMBR11",2.00734934508699e-49,0.89148119445505,0.331,0.197,5.12355846840002e-45,"4","LMBR1"
"ACSL61",2.04724379096449e-49,1.74457438664659,0.096,0.031,5.22538505205775e-45,"4","ACSL6"
"SIK12",3.27545963049157e-49,0.911176604472183,0.243,0.124,8.36028316086667e-45,"4","SIK1"
"RNF1381",6.46219571813332e-49,0.883689389274289,0.332,0.2,1.64941083509635e-44,"4","RNF138"
"HSPA81",7.65750114885235e-49,0.424096203824035,0.827,0.756,1.95450059323307e-44,"4","HSPA8"
"CLUAP11",7.67269746156198e-49,1.87716130622379,0.077,0.022,1.95837930008908e-44,"4","CLUAP1"
"CKAP41",9.23912886116621e-49,1.96971398406361,0.071,0.019,2.35819525052406e-44,"4","CKAP4"
"SLC25A331",9.26854127122574e-49,1.36973240339294,0.151,0.063,2.36570247406766e-44,"4","SLC25A33"
"EIF3K1",1.02787581919846e-48,0.477840777253022,0.764,0.667,2.62355024092214e-44,"4","EIF3K"
"YPEL21",1.0413014750779e-48,1.37979952590338,0.16,0.069,2.65781788498883e-44,"4","YPEL2"
"UQCRB",1.11755636947958e-48,0.463862643896242,0.801,0.697,2.85245087745969e-44,"4","UQCRB"
"TRAK21",1.13103076206923e-48,1.15872413149467,0.23,0.118,2.88684291710549e-44,"4","TRAK2"
"TOMM201",1.72483265714533e-48,0.664225314856582,0.544,0.405,4.40246287409775e-44,"4","TOMM20"
"LGALS3BP1",1.72554840004352e-48,1.91761591151534,0.067,0.017,4.40428973627109e-44,"4","LGALS3BP"
"HPGD1",3.19931354660037e-48,1.92782503344258,0.073,0.02,8.16592789634279e-44,"4","HPGD"
"MAST41",8.15062366708419e-48,1.56779256251321,0.108,0.038,2.08036518478657e-43,"4","MAST4"
"NBPF15",1.47082494618733e-47,1.38245741619574,0.138,0.055,3.75413359264854e-43,"4","NBPF15"
"PPA1",1.95058227574581e-47,1.07041130655841,0.265,0.149,4.97866620061361e-43,"4","PPA1"
"FLNB1",1.96306342918479e-47,1.48450796897578,0.122,0.046,5.01052309665126e-43,"4","FLNB"
"PRKAR1B",2.14108682860254e-47,1.55648546607146,0.124,0.047,5.46491002132512e-43,"4","PRKAR1B"
"NRIP11",3.6732930282368e-47,0.99043047450923,0.23,0.118,9.3757131252716e-43,"4","NRIP1"
"HAVCR1",5.7036562655234e-47,4.02508818004732,0.019,0.001,1.45580122521219e-42,"4","HAVCR1"
"SPTBN11",6.44149202813504e-47,0.790275945042755,0.386,0.246,1.64412642526119e-42,"4","SPTBN1"
"AGMAT",1.00717729416166e-46,2.18314581441665,0.056,0.013,2.57071932561822e-42,"4","AGMAT"
"GNG7",1.91139106186672e-46,2.67231495189167,0.034,0.005,4.87863454630861e-42,"4","GNG7"
"PRKCA-AS11",4.32056436424167e-46,2.57258496422886,0.038,0.006,1.10278084832904e-41,"4","PRKCA-AS1"
"LIMD2",4.38298320999223e-46,0.44020688168682,0.806,0.7,1.11871263451842e-41,"4","LIMD2"
"TMEM2381",5.27139552883337e-46,0.996235487263338,0.249,0.133,1.34547099477943e-41,"4","TMEM238"
"USP15",6.73234521399313e-46,0.550202911224924,0.687,0.567,1.71836379241961e-41,"4","USP15"
"LINC01725",1.05381854566214e-45,3.06742529433906,0.03,0.004,2.68976645594805e-41,"4","LINC01725"
"ETS11",1.34305465028301e-45,0.389762632966767,0.889,0.84,3.42801268938235e-41,"4","ETS1"
"PSMA11",1.41547938653839e-45,0.649132502145793,0.527,0.391,3.61286958620059e-41,"4","PSMA1"
"ICA1L",1.52549591411025e-45,1.7290250154251,0.088,0.029,3.89367577117501e-41,"4","ICA1L"
"ITK1",2.85075969380914e-45,0.691462042127165,0.524,0.392,7.27627904247845e-41,"4","ITK"
"OOEP1",3.47106950110702e-45,1.06551296735998,0.217,0.111,8.85955779462555e-41,"4","OOEP"
"PDE9A1",4.51585822736354e-45,1.95750215848061,0.06,0.015,1.15262765395227e-40,"4","PDE9A"
"TRAT11",6.4600983783883e-45,0.9029291553416,0.285,0.163,1.64887551009983e-40,"4","TRAT1"
"TLE5",6.46643123398255e-45,0.317360236881255,0.931,0.879,1.65049190816171e-40,"4","TLE5"
"ALKBH71",7.32673718701278e-45,0.901440281129992,0.321,0.195,1.87007639961314e-40,"4","ALKBH7"
"ATP5PO",1.04918106805389e-44,0.623960734240359,0.547,0.412,2.67792975810076e-40,"4","ATP5PO"
"CD6",2.6810405111395e-44,0.881697993027836,0.322,0.196,6.84308780063246e-40,"4","CD6"
"TMEM243",6.16025303816438e-44,0.83629591133177,0.341,0.213,1.57234298546108e-39,"4","TMEM243"
"ZNF6091",9.29097860243355e-44,1.00975033595643,0.236,0.126,2.37142937848514e-39,"4","ZNF609"
"NBDY1",1.26728984435984e-43,0.867876834277654,0.322,0.197,3.23463059874405e-39,"4","NBDY"
"CELA1",1.73548309623959e-43,2.58626306033072,0.038,0.007,4.42964705484194e-39,"4","CELA1"
"DIP2B2",1.82621644834361e-43,1.00976653140745,0.236,0.128,4.66123486275223e-39,"4","DIP2B"
"CCDC571",2.22544254752784e-43,0.980359712186254,0.249,0.137,5.68021955831007e-39,"4","CCDC57"
"ATP5MG1",2.6633443350488e-43,0.411192968476153,0.813,0.735,6.79792008077857e-39,"4","ATP5MG"
"PRMT21",3.62529723312253e-43,0.588969710636899,0.586,0.457,9.25320865782196e-39,"4","PRMT2"
"SHISAL2A",7.35295358702805e-43,1.2705065445641,0.161,0.074,1.87676787355304e-38,"4","SHISAL2A"
"CHRM3-AS21",9.0717997231506e-43,1.91337350960472,0.063,0.017,2.31548616133696e-38,"4","CHRM3-AS2"
"LINC016191",1.38025712385417e-42,0.629537340317949,0.539,0.403,3.52296828292539e-38,"4","LINC01619"
"MCC1",1.89085907936654e-42,1.89383591154475,0.071,0.021,4.82622871417517e-38,"4","MCC"
"GLIS3",2.30826638673439e-42,3.95778538064288,0.018,0.001,5.89161912550085e-38,"4","GLIS3"
"GTSCR1",2.37507662847034e-42,6.08116265558321,0.012,0,6.06214558650771e-38,"4","GTSCR1"
"GNAI11",3.44949077312897e-42,2.85160323152267,0.027,0.003,8.80448024933438e-38,"4","GNAI1"
