"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FGFBP2",0,1.27173583838964,0.77,0.391,0,"0","FGFBP2"
"GZMH",0,1.13794650708506,0.824,0.457,0,"0","GZMH"
"GZMB",0,1.18911942531487,0.769,0.409,0,"0","GZMB"
"FCGR3A",0,1.5773870000375,0.527,0.206,0,"0","FCGR3A"
"ADGRG1",0,1.41569720762477,0.535,0.217,0,"0","ADGRG1"
"CX3CR1",0,1.61716917393593,0.447,0.161,0,"0","CX3CR1"
"ZNF683",0,1.64544487195696,0.382,0.139,0,"0","ZNF683"
"SPON2",0,1.12722722409702,0.479,0.238,0,"0","SPON2"
"PRF1",0,0.855279542051549,0.876,0.638,0,"0","PRF1"
"PRSS23",0,1.5512928154119,0.31,0.106,0,"0","PRSS23"
"NKG7",0,0.525304952628336,1,0.972,0,"0","NKG7"
"PFN1",0,0.498712697100457,0.997,0.97,0,"0","PFN1"
"ACTB",0,0.651995900387979,0.999,0.993,0,"0","ACTB"
"SH3BGRL3",8.88959944526103e-287,0.405635628202518,0.988,0.95,2.26898136240843e-282,"0","SH3BGRL3"
"GNLY",1.13566816671762e-277,0.468032263203719,0.979,0.87,2.89867942873005e-273,"0","GNLY"
"ACTG1",1.54176702576318e-248,0.573348514682769,0.928,0.805,3.93520615655795e-244,"0","ACTG1"
"TMSB10",3.38223506609358e-229,0.2969300568589,0.998,0.986,8.63281678269726e-225,"0","TMSB10"
"TRDV2",5.68550269318019e-220,0.462972896858748,0.933,0.832,1.45116770740731e-215,"0","TRDV2"
"S100A4",1.72840780362011e-218,0.392346378341228,0.976,0.925,4.41158807795997e-214,"0","S100A4"
"B2M",6.58408154323972e-215,0.173560622613173,1,1,1.68052097309651e-210,"0","B2M"
"FCRL6",2.30446031710256e-211,1.21324486287329,0.278,0.119,5.88190451337257e-207,"0","FCRL6"
"ZEB2",1.45411618396577e-206,0.625164014168828,0.715,0.492,3.71148614795423e-202,"0","ZEB2"
"CFL1",5.9295724000341e-203,0.385170860366031,0.966,0.9,1.5134640593847e-198,"0","CFL1"
"ITGB2",3.92554925486442e-202,0.4918781493181,0.887,0.74,1.00195719181159e-197,"0","ITGB2"
"FLNA",1.83050855726609e-198,0.51600010161565,0.869,0.712,4.67219004156596e-194,"0","FLNA"
"LGALS1",1.25356818561083e-197,1.15362734055091,0.338,0.169,3.19960743695307e-193,"0","LGALS1"
"TRGV9",3.99554681273857e-181,0.404673496715452,0.925,0.816,1.01982336848339e-176,"0","TRGV9"
"EFHD2",3.03975338520118e-161,0.448690465965334,0.851,0.704,7.7586665403875e-157,"0","EFHD2"
"CD52",2.41208547349339e-155,0.301925607764707,0.982,0.936,6.15660696254454e-151,"0","CD52"
"TMSB4X",6.21678274006252e-151,0.187579644682226,1,0.997,1.58677162657356e-146,"0","TMSB4X"
"HLA-C",5.51238540067353e-146,0.189320077137288,1,0.997,1.40698124966791e-141,"0","HLA-C"
"LAIR2",3.0441184419332e-143,1.89754868663296,0.093,0.024,7.7698079111903e-139,"0","LAIR2"
"UCP2",5.17182246524413e-137,0.613496157196474,0.563,0.383,1.32005596602891e-132,"0","UCP2"
"NHERF1",7.10425442603239e-135,0.553973468941828,0.63,0.45,1.81328989970051e-130,"0","NHERF1"
"LINC02384",1.61167782977763e-133,1.33540190589522,0.158,0.062,4.11364649272442e-129,"0","LINC02384"
"TTC38",2.30003533069094e-132,1.00299083432235,0.243,0.119,5.87061017805555e-128,"0","TTC38"
"GPR141",2.08258241850368e-131,1.71399624593152,0.099,0.029,5.31558336498879e-127,"0","GPR141"
"ARPC2",9.38676098465303e-131,0.441722065704882,0.803,0.668,2.39587687372284e-126,"0","ARPC2"
"ITGAM",2.0025389090309e-129,0.788789347764843,0.355,0.206,5.11128031141048e-125,"0","ITGAM"
"ITGB1",9.52917992864422e-129,0.768269581293569,0.435,0.278,2.43222788498715e-124,"0","ITGB1"
"CCL4",7.98013575194634e-128,0.491275405812775,0.528,0.346,2.03684984932678e-123,"0","CCL4"
"HOPX",8.97965177287342e-128,0.55532665112713,0.621,0.451,2.29196631850821e-123,"0","HOPX"
"MYL12A",4.26879160524254e-125,0.353992110512544,0.901,0.804,1.08956636932211e-120,"0","MYL12A"
"AKR1C3",6.67805385988989e-125,1.46456148710477,0.12,0.041,1.70450646719829e-120,"0","AKR1C3"
"RAC2",1.06124773344908e-124,0.41022006869676,0.83,0.694,2.70872871485542e-120,"0","RAC2"
"ANXA6",1.01625157752269e-123,0.522188345176921,0.639,0.464,2.59388052646892e-119,"0","ANXA6"
"ASCL2",5.7412754240549e-118,1.18136211174421,0.155,0.064,1.46540313923577e-113,"0","ASCL2"
"IL32",7.59302488420688e-118,0.25968373385742,0.984,0.939,1.93804367144496e-113,"0","IL32"
"VCL",1.18380313838654e-117,0.78200058480599,0.34,0.199,3.0215391304178e-113,"0","VCL"
"CALR",5.43653713156169e-116,0.513410071784988,0.692,0.543,1.38762173745981e-111,"0","CALR"
"LILRB1",7.92396309313426e-115,1.89585618240198,0.072,0.018,2.02251233989159e-110,"0","LILRB1"
"IFITM1",4.16775550995751e-113,0.265197829408074,0.973,0.926,1.06377791636156e-108,"0","IFITM1"
"PLEK",8.67464562122599e-112,0.558649235617935,0.528,0.367,2.21411654836172e-107,"0","PLEK"
"CD3G",3.38379136728276e-111,0.417334182765414,0.74,0.584,8.63678908585252e-107,"0","CD3G"
"CLIC1",1.98651348201853e-110,0.458453209913193,0.709,0.56,5.07037701150409e-106,"0","CLIC1"
"CST7",2.88277956152859e-110,0.281537548304179,0.958,0.877,7.35800655284556e-106,"0","CST7"
"IFITM2",3.39929986980663e-110,0.360396883235433,0.871,0.764,8.67637298769445e-106,"0","IFITM2"
"PTGDR",1.85706154560017e-109,0.91973016963608,0.239,0.125,4.73996388898986e-105,"0","PTGDR"
"KLRD1",8.09732981542006e-101,0.359218373653147,0.837,0.699,2.06676246208782e-96,"0","KLRD1"
"CTSD",7.19486307751812e-100,0.58463834894201,0.456,0.307,1.83641685190573e-95,"0","CTSD"
"MYL6",7.65133201405418e-100,0.308981559901279,0.901,0.811,1.95292598326719e-95,"0","MYL6"
"JAZF1",1.9506076137724e-97,0.703726339559684,0.304,0.18,4.97873087339268e-93,"0","JAZF1"
